 Schema: user_v2 | Table: StudentProfile | Column: fatherAddress | Type: text
 Schema: user_v2 | Table: StudentProfile | Column: motherAddress | Type: text
 Schema: user_v2 | Table: StudentProfile | Column: bloodGroup | Type: text
 Schema: user_v2 | Table: StudentProfile | Column: dateOfBirth | Type: timestamp without time zone
 Schema: user_v2 | Table: StudentProfile | Column: profileUrl | Type: text
 Schema: user_v2 | Table: StudentProfile | Column: year | Type: text
 Schema: user_v2 | Table: StudentProfile | Column: branch | Type: text
 Schema: user_v2 | Table: StudentProfile | Column: section | Type: text
 Schema: user_v2 | Table: StudentProfile | Column: roomno | Type: text
 Schema: user_v2 | Table: StudentProfile | Column: isPresentInCampus | Type: boolean
 Schema: user_v2 | Table: StudentProfile | Column: isApplicationPending | Type: boolean
 Schema: user_v2 | Table: StudentProfile | Column: createdAt | Type: timestamp without time zone
 Schema: user_v2 | Table: StudentProfile | Column: updatedAt | Type: timestamp without time zone
 Schema: user_v2 | Table: StudentProfile | Column: telegramChatId | Type: text
 Schema: user_v2 | Table: StudentProfile | Column: phone_number | Type: text
 Schema: user_v2 | Table: StudentProfile | Column: blood_group | Type: text
 Schema: user_v2 | Table: StudentProfile | Column: isPendingApproval | Type: boolean
 Schema: user_v2 | Table: Tender | Column: id | Type: text
 Schema: user_v2 | Table: Tender | Column: title | Type: text
 Schema: user_v2 | Table: Tender | Column: description | Type: text
 Schema: user_v2 | Table: Tender | Column: pdfUrl | Type: text
 Schema: user_v2 | Table: Tender | Column: deadline | Type: timestamp without time zone
 Schema: user_v2 | Table: Tender | Column: isVisible | Type: boolean
 Schema: user_v2 | Table: Tender | Column: createdAt | Type: timestamp without time zone
 Schema: user_v2 | Table: Tender | Column: updatedAt | Type: timestamp without time zone
 Schema: user_v2 | Table: UploadHistory | Column: id | Type: text
 Schema: user_v2 | Table: UploadHistory | Column: type | Type: text
 Schema: user_v2 | Table: UploadHistory | Column: filename | Type: text
 Schema: user_v2 | Table: UploadHistory | Column: totalRows | Type: integer
 Schema: user_v2 | Table: UploadHistory | Column: successCount | Type: integer
 Schema: user_v2 | Table: UploadHistory | Column: failCount | Type: integer
 Schema: user_v2 | Table: UploadHistory | Column: errors | Type: jsonb
 Schema: user_v2 | Table: UploadHistory | Column: status | Type: text
 Schema: user_v2 | Table: UploadHistory | Column: uploadedBy | Type: text
 Schema: user_v2 | Table: UploadHistory | Column: createdAt | Type: timestamp without time zone
 Schema: user_v2 | Table: _prisma_migrations | Column: id | Type: character varying
 Schema: user_v2 | Table: _prisma_migrations | Column: checksum | Type: character varying
 Schema: user_v2 | Table: _prisma_migrations | Column: finished_at | Type: timestamp with time zone
 Schema: user_v2 | Table: _prisma_migrations | Column: migration_name | Type: character varying
 Schema: user_v2 | Table: _prisma_migrations | Column: logs | Type: text
 Schema: user_v2 | Table: _prisma_migrations | Column: rolled_back_at | Type: timestamp with time zone
 Schema: user_v2 | Table: _prisma_migrations | Column: started_at | Type: timestamp with time zone
 Schema: user_v2 | Table: _prisma_migrations | Column: applied_steps_count | Type: integer

